pack_id,pair,row_id,source_file,source_tier,draft_origin,upstream_score,upstream_flags,source_len,target_len,length_ratio,naturalness,row_quality,exact_count,loose_count,source_count,frame_count,has_digit,has_time,has_year,has_date_word,has_semicolon,has_placeholder,punctuation_mismatch,copied_source,cluster_penalty,template_penalty,length_penalty,punctuation_penalty,lineage_penalty,prune_score,source,target_pos
06,en-es,f90fb3b88a30e59ad08aa68686bfb142d48ebe91d97cfb6f10d535cd1bb4d940,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,63,93,1.4762,92.0,1080.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,4.2714,0.0,0.0,67.2714,Doctors recommend short walking breaks to lower sedentary risk.,Los médicos recomiendan pausas cortas para caminar para disminuir el riesgo del sedentarismo.
06,en-es,f4cb8baf2c9e7e3dc0c0545fb57f2abde7d197a73d6f7b1bc050e0be7ed0d999,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,58,73,1.2586,95.8934,1083.8934,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,1.0267,0.0,0.0,64.0267,"At midnight, the station clocks sounded louder than usual.","Al anochecer, los relojes de la estación sonaron más fuerte de lo normal."
06,en-es,c86746225dbad0d42e62a374f4c3760acae7e8a636935506b5f19a24aaf020a7,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_02_gold_core_b.jsonl,1000,,,,54,63,1.1667,97.418,1085.418,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.6455,0.0,0.0,63.6455,"At first light, the market woke in a hush of shutters.","Al primera luz, el mercado despertó en un susurro de persianas."
06,en-es,ba150b7c077470659a3c205722ccfb2a2ee431b5e1a3cb48425b88ca152bd3fc,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,57,64,1.1228,98.5246,1086.5246,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.3688,0.0,0.0,63.3688,Let the paint cure for a day before mounting the shelves.,Deja que la pintura cure un día antes de montar las estanterías.
06,es-en,a1dd68bbd93992afb7423906eae8321d87c927a0774f17e5dfa4c85280d35c93,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_02_gold_core_b.jsonl,1000,,,,69,60,1.15,98.9286,1086.9286,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.2678,0.0,0.0,63.2678,"Si la cola de impresión no avanza, reinicia el servicio de impresión.","If the print queue will not move, restart the print service."
06,es-en,061da75a6ba99c5279b58009ce24cc968145dec7ffca14772b4012e6bea2d942,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,91,80,1.1375,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,Los alumnos de último curso están muy concentrados estudiando para sus exámenes de ingreso.,The final year students are very concentrated studying for their entrance exams.
06,es-en,19c794484cf82f842771576ba6fd0956c2238df990d118a4443f689d0cdea478,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,93,96,1.0323,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,He decidido empezar a practicar yoga para mejorar mi flexibilidad y mi estado físico general.,I have decided to start practicing yoga to improve my flexibility and my general physical state.
06,en-es,1eb47c69259a11bc17002424005d26e8373bb24a3f9e369e6e04e80cc1030d33,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,70,76,1.0857,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,We are committed to building a diverse and inclusive work environment.,Estamos comprometidos a construir un entorno de trabajo diverso e inclusivo.
06,es-en,256d1e745a68e85eb426dcc2fb228b6560be6a642788b133564c6584e6d7850c,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,88,102,1.1591,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,Este monumento nacional recibe la visita de miles de turistas de todo el mundo cada año.,This national monument receives the visit of thousands of tourists from all over the world every year.
06,es-en,5ded3e6283900430e002868140c53023d195b0fe744793aff1d4295c7a43e69a,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_02_gold_core_b.jsonl,1000,,,,90,75,1.2,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,El consejo municipal aprobó un plan de sombra para parques para barrios con olas de calor.,The city council approved a shade plan for neighborhoods facing heat waves.
06,es-en,e0f68e4648be9887751681b596579e36731553eccc353b109f4caf18037ccf36,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,89,91,1.0225,100.0,1088.0,4,4,11,11,0,0,0,0,0,0,0,0,63.0,0.0,0.0,0.0,0.0,63.0,¿Sería posible que me explicara con más detalle en qué consiste esta oferta de servicios?,Would it be possible for you to explain in more detail what this service offer consists of?
06,en-es,bf023613071ac367a39e967c2095f6127634094b336349f3e500e771750c5fea,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,48,58,1.2083,90.4192,1078.4192,4,4,10,10,0,0,0,0,0,0,0,0,58.5,0.0,2.3952,0.0,0.0,60.8952,"At the storm's edge, a single window stayed lit.","Al borde de la tormenta, una sola ventana quedó encendida."
06,en-es,4cd2caded9340627fbe2682182013cedd66a5e24bb40132946e2cf1e49d078ea,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_02_gold_core_b.jsonl,1000,,,,59,74,1.2542,96.2623,1084.2623,4,4,10,10,0,0,0,0,0,0,0,0,58.5,0.0,0.9344,0.0,0.0,59.4344,"At late evening, the harbor cranes stood like quiet giants.","Al noche cerrada, las grúas del puerto quedaron como gigantes silenciosos."
06,en-es,30d948d7354677491dbad9e26fcd7b42b93954c163e3b2a577695e6986951129,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,70,86,1.2286,97.0,1085.0,4,4,10,10,0,0,0,0,0,0,0,0,58.5,0.0,0.75,0.0,0.0,59.25,The forest fire was finally contained after three days of fighting it.,El incendio forestal fue finalmente contenido después de tres días de lucha contra él.
06,es-en,1036c02802179be5e1faf35707e4bfd551073bbc3bd92b2f931f05949e631e0d,projects/distillation/translation/training_data/gold_shards/gold_quality_4x640.shard_01_gold_core_a.jsonl,1000,,,,95,80,1.1875,100.0,1088.0,4,4,10,10,0,0,0,0,0,0,0,0,58.5,0.0,0.0,0.0,0.0,58.5,"La tasa de inflación ha bajado ligeramente, lo que da un respiro a la economía de las familias.","The inflation rate has dropped slightly, giving a breather to families' economy."
